,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
135,raw,direct_vocab,4,0.24334918,0.2440103,0.05836274,0.039610483,0.048986614,-0.0026543587,0.9963602,0.059218824,0.059541028,0.0035259495,2400
136,raw,direct_vocab,5,0.24384812,0.251641,0.012184331,0.024858003,0.018521167,0.034762345,0.86871845,0.059461903,0.06332319,0.0037653176,2400
137,raw,direct_vocab,6,0.242188,0.25251526,0.05559116,0.03700632,0.04629874,0.017310336,0.10183231,0.05865503,0.063763954,0.0037400767,2400
138,raw,direct_vocab,7,0.24187317,0.2463961,0.02244318,0.023432918,0.02293805,-0.020680478,-0.33999574,0.058502633,0.060711034,0.0035517553,2400
139,raw,direct_vocab,8,0.24342309,0.25092474,0.03357603,0.007374266,0.02047515,0.011014722,-0.57098174,0.0592548,0.062963225,0.0037308733,2400
140,raw,direct_vocab,9,0.245067,0.24834372,0.05013918,0.05276193,0.051450558,-0.020004826,0.14000423,0.060057834,0.061674602,0.003704043,2400
141,raw,direct_vocab,10,0.24065149,0.25264278,0.034004122,0.02014157,0.027072847,-0.033688694,-0.9153814,0.05791314,0.06382837,0.0036965015,2400
142,raw,direct_vocab,11,0.2408581,0.24937013,0.031182254,0.034204457,0.032693356,-0.10945075,0.87951845,0.05801262,0.06218546,0.0036075413,2400
143,raw,direct_vocab,1,0.2550365,0.26699308,0.08175675,0.04295129,0.06235402,0.06111557,-0.90293634,0.06504362,0.0712853,0.004636654,2600
144,raw,direct_vocab,2,0.25262928,0.259856,0.07192867,0.009713964,0.040821318,0.0050469176,-0.9506804,0.063821554,0.06752513,0.004309559,2600
145,raw,direct_vocab,3,0.25202933,0.26068255,0.052541424,0.019527577,0.036034502,-0.032120794,-0.9951035,0.063518785,0.0679554,0.004316444,2600
146,raw,direct_vocab,4,0.25617558,0.25739327,0.05639508,0.036696073,0.046545576,-0.0029377718,0.99793905,0.06562593,0.06625129,0.0043478026,2600
147,raw,direct_vocab,5,0.25646958,0.26492462,0.009674032,0.02524364,0.017458836,0.034351543,0.7968362,0.065776646,0.07018505,0.004616537,2600
148,raw,direct_vocab,6,0.25449377,0.2663431,0.056921076,0.035136603,0.046028838,0.019917816,0.02511364,0.06476708,0.07093864,0.0045944885,2600
149,raw,direct_vocab,7,0.25455296,0.2595111,0.02347535,0.023230135,0.023352742,-0.020643799,-0.3093554,0.06479721,0.06734602,0.004363834,2600
150,raw,direct_vocab,8,0.25593013,0.2639455,0.029320352,0.0057300846,0.017525218,0.007962388,-0.4657709,0.06550023,0.06966722,0.004563219,2600
151,raw,direct_vocab,9,0.25750437,0.26177585,0.047365896,0.049758174,0.048562035,-0.022142107,0.19948196,0.066308506,0.068526596,0.0045438963,2600
152,raw,direct_vocab,10,0.25275695,0.26596323,0.03371035,0.018948525,0.026329437,-0.03615121,-0.98097277,0.063886076,0.07073644,0.0045190733,2600
153,raw,direct_vocab,11,0.25300547,0.26250726,0.032437634,0.034445673,0.033441655,-0.112221055,0.88023084,0.06401177,0.06891006,0.004411055,2600
154,raw,direct_vocab,1,0.2667618,0.2805896,0.0794441,0.04146988,0.06045699,0.058993533,-0.89905417,0.071161866,0.07873053,0.0056026117,2800
155,raw,direct_vocab,2,0.2643581,0.27274063,0.06884956,0.009807291,0.039328426,0.0007623394,-0.9668127,0.06988521,0.07438745,0.0051985825,2800
156,raw,direct_vocab,3,0.26397836,0.2735679,0.05206049,0.020814305,0.036437396,-0.030613668,-0.9890767,0.06968457,0.07483939,0.005215151,2800
157,raw,direct_vocab,4,0.26831865,0.27047327,0.054525092,0.034728628,0.04462686,-0.0032579624,0.9823515,0.0719949,0.07315579,0.005266844,2800
158,raw,direct_vocab,5,0.26858672,0.27786928,0.0075877584,0.02553347,0.016560614,0.03287766,0.74944305,0.07213883,0.07721134,0.005569936,2800
159,raw,direct_vocab,6,0.26615697,0.27973747,0.056734987,0.033871833,0.04530341,0.020213393,-0.04450917,0.07083953,0.07825305,0.00554341,2800
160,raw,direct_vocab,7,0.26662266,0.27233952,0.023839822,0.022895085,0.023367453,-0.019259563,-0.31801683,0.07108764,0.074168816,0.0052724862,2800
161,raw,direct_vocab,8,0.26785228,0.27660057,0.026421333,0.0040474404,0.015234387,0.003991722,-0.4671453,0.071744844,0.076507874,0.0054890453,2800
